value,createdAt
18.58,2019-09-05T12:56:39.000Z
18.56,2019-09-05T12:56:08.000Z
18.56,2019-09-05T12:55:38.000Z
18.58,2019-09-05T12:55:08.000Z
18.56,2019-09-05T12:54:38.000Z
18.56,2019-09-05T12:54:08.000Z
18.56,2019-09-05T12:53:37.000Z
18.55,2019-09-05T12:53:07.000Z
18.56,2019-09-05T12:52:37.000Z
18.55,2019-09-05T12:52:07.000Z
18.55,2019-09-05T12:51:37.000Z
18.55,2019-09-05T12:51:07.000Z
18.55,2019-09-05T12:50:37.000Z
18.55,2019-09-05T12:50:07.000Z
18.55,2019-09-05T12:49:37.000Z
18.53,2019-09-05T12:49:06.000Z
18.52,2019-09-05T12:48:36.000Z
18.52,2019-09-05T12:48:06.000Z
18.53,2019-09-05T12:47:36.000Z
18.53,2019-09-05T12:47:06.000Z
18.53,2019-09-05T12:46:36.000Z
18.52,2019-09-05T12:46:06.000Z
18.52,2019-09-05T12:45:36.000Z
18.50,2019-09-05T12:45:06.000Z
18.50,2019-09-05T12:44:35.000Z
18.50,2019-09-05T12:44:05.000Z
18.47,2019-09-05T12:43:35.000Z
18.50,2019-09-05T12:43:05.000Z
18.49,2019-09-05T12:42:35.000Z
18.49,2019-09-05T12:42:05.000Z
18.49,2019-09-05T12:41:35.000Z
18.49,2019-09-05T12:41:05.000Z
18.45,2019-09-05T12:40:35.000Z
18.45,2019-09-05T12:40:05.000Z
18.45,2019-09-05T12:39:34.000Z
18.47,2019-09-05T12:39:04.000Z
18.45,2019-09-05T12:38:34.000Z
18.45,2019-09-05T12:38:04.000Z
18.47,2019-09-05T12:37:34.000Z
18.47,2019-09-05T12:37:04.000Z
18.47,2019-09-05T12:36:34.000Z
18.45,2019-09-05T12:36:04.000Z
18.47,2019-09-05T12:35:34.000Z
18.45,2019-09-05T12:35:03.000Z
18.45,2019-09-05T12:34:33.000Z
18.44,2019-09-05T12:34:03.000Z
18.45,2019-09-05T12:33:33.000Z
18.45,2019-09-05T12:33:03.000Z
18.47,2019-09-05T12:32:33.000Z
18.47,2019-09-05T12:32:03.000Z
18.47,2019-09-05T12:31:33.000Z
18.45,2019-09-05T12:31:03.000Z
18.47,2019-09-05T12:30:32.000Z
18.47,2019-09-05T12:30:02.000Z
18.47,2019-09-05T12:29:32.000Z
18.45,2019-09-05T12:29:02.000Z
18.45,2019-09-05T12:28:32.000Z
18.45,2019-09-05T12:28:02.000Z
18.45,2019-09-05T12:27:32.000Z
18.44,2019-09-05T12:27:02.000Z
18.44,2019-09-05T12:26:32.000Z
18.45,2019-09-05T12:26:01.000Z
18.44,2019-09-05T12:25:31.000Z
18.44,2019-09-05T12:25:01.000Z
18.43,2019-09-05T12:24:31.000Z
18.44,2019-09-05T12:24:01.000Z
18.43,2019-09-05T12:23:30.000Z
18.43,2019-09-05T12:23:00.000Z
18.43,2019-09-05T12:22:30.000Z
18.44,2019-09-05T12:22:00.000Z
18.44,2019-09-05T12:21:30.000Z
18.44,2019-09-05T12:21:00.000Z
18.44,2019-09-05T12:20:30.000Z
18.44,2019-09-05T12:20:00.000Z
